86 80 true 9F 6F 21 73 1E 0E E0 36 29 C3 9D 71 2A 0F C3 95 
416 54 true 53 E4 78 32 FE 47 B4 87 E8 C4 98 DA 93 D3 20 C7 
370 59 true 80 36 7B 27 CE 59 2D FF 9D 81 03 CF 62 13 71 10 
224 75 true d5 9c 0f 64 7e 2d 82 B5 B9 B2 78 78 FC 40 D1 74 
130 67 true 1D 9E FD 13 C3 66 C3 22 93 50 77 5F 6A 17 C1 7D 
110 79 true 7B F9 DD 64 7B D2 4E 89 77 11 8C 66 94 99 CF 94 
452 30 true 73 2A D2 94 C9 3D 71 93 35 04 AA 14 65 8B 93 80 
360 61 true 0B F5 89 AE 27 21 06 D3 D3 22 F4 BF 6F 42 4D F4 
504 1 true 20 0D 5A F8 93 94 CA 83 5D 5E 4E E1 66 52 EE 70 
370 56 true 39 B3 2B F9 F4 21 8B D9 BA AF 3B 9F C7 2F 65 29 
0 0 false null
0 0 false null
194 82 true A3 96 1C CF FA C6 80 75 E6 BA B7 EE 57 1E 1D DB 
330 20 true D3 0C 2B 69 A6 A5 DF 6F A1 AB 98 0A 20 C1 6E 73 
374 46 true 0D AE C8 6C 74 CF A2 FF E4 32 F1 83 78 BF D9 3D 
314 74 true 22 6a 6e 35 34 BF 29 0B BF DF 72 DF C8 8E A0 CB 
186 44 true 75 0E F3 32 4F 5B 7A 09 2B E8 7E 33 39 39 CF 33 
414 73 true 5D 38 ED 01 C8 6D A9 CC 13 EC 1F 2B 7B 38 E5 14 
488 83 true F5 ED D1 E6 21 59 BB 5E 33 CD 1A FF EA 3C 2C 11 
248 37 true A3 95 88 51 26 A1 2C D9 42 B8 40 03 AC 29 5A 30 
244 51 true 7D 92 9E 6D 0A FC A9 44 D8 8A 93 C3 A4 11 77 1E 
400 58 true 33 3E FB 60 12 82 58 BE 69 58 5D 5D 0A E0 79 AB 
0 0 false null
0 0 false null
442 52 true BD 99 A4 C7 6E DD E6 D9 05 68 68 C9 D7 BC 59 00 
160 57 true 35 87 DD 47 2E 2D C8 A5 34 6A 08 6D E3 0C 8C 8B 
334 64 true 6B B9 8B FF 28 7B FF E8 32 75 19 42 F1 C5 74 8D 
436 43 true 20 52 2C C4 CD C4 49 3E E4 4E E0 AD 04 9F 4A 86 
434 19 true C1 EA 3D 92 EC 2C 04 B4 C2 35 A3 23 43 83 65 B2 
16 65 true 3F 8F 50 96 66 47 ED 2D B0 50 1C 53 B7 DC A9 7D 
40 78 true C0 54 36 C9 D0 62 EF FC 62 DB 56 A7 86 35 2A CE 
444 81 true 0E DE 8C 1F 49 56 4F C3 A2 11 AD 50 E8 31 86 F8 
